strike,expiry,T,option_type,moneyness,market_iv,model_iv,iv_error,abs_error
680.0,2026-12-31,0.8136986301369863,call,-0.011269134015956778,0.18923565153483743,0.21288685367160437,0.02365120213676694,0.02365120213676694
680.0,2026-12-31,0.8136986301369863,put,-0.011269134015956778,0.2171464711639646,0.21288685367160415,-0.004259617492360451,0.004259617492360451
685.0,2026-12-31,0.8136986301369863,put,-0.018595174108029747,0.21479057861335904,0.21094103529418723,-0.003849543319171811,0.003849543319171811
653.0,2026-12-31,0.8136986301369863,put,0.029246534877764487,0.23075463307309257,0.22334409193705662,-0.007410541136035953,0.007410541136035953
704.0,2026-12-31,0.8136986301369863,call,-0.045954692003846796,0.17527695679239425,0.20351095722662021,0.02823400043422597,0.02823400043422597
620.0,2026-12-31,0.8136986301369863,put,0.08110418611505839,0.24858081421557698,0.23605708543468015,-0.012523728780896831,0.012523728780896831
770.0,2026-12-31,0.8136986301369863,put,-0.135566850693534,0.21187884766738593,0.1770123945181281,-0.03486645314925782,0.03486645314925782
670.0,2027-01-15,0.8547945205479452,call,0.0035459517691838593,0.19373169594899992,0.2167939913875715,0.02306229543857158,0.02306229543857158
670.0,2027-01-15,0.8547945205479452,put,0.0035459517691838593,0.22197491948346385,0.21679399138757124,-0.005180928095892601,0.005180928095892601
675.0,2027-01-15,0.8547945205479452,put,-0.0038890267183342253,0.21962434781889012,0.2149262419809599,-0.004698105837930233,0.004698105837930233
675.0,2027-01-15,0.8547945205479452,call,-0.0038890267183342253,0.19107297878990562,0.21492624198096036,0.02385326319105474,0.02385326319105474
665.0,2027-01-15,0.8547945205479452,call,0.011036623498341353,0.19642998847822046,0.21865979942664218,0.02222981094842172,0.02222981094842172
700.0,2027-01-15,0.8547945205479452,put,-0.0402566708892091,0.20877093845507355,0.20554874096895875,-0.0032221974861147973,0.0032221974861147973
740.0,2027-01-15,0.8547945205479452,call,-0.09582652204401985,0.15654554425976147,0.1903385902603251,0.033793046000563626,0.033793046000563626
575.0,2027-01-15,0.8547945205479452,put,0.15645362335684515,0.27167619071788995,0.2521836919157699,-0.019492498802120062,0.019492498802120062
